Interval=	0.00025 s
ExcelDateTime=	4.4705550345423639e+004	2022-05-24 13:12:29.844603
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Raw EMG 1	RMS EMG
Range=	10.000 mV	42.46 V
0.10875	0.07375	7.000676
0.109	0.0753125	7.003974
0.10925	0.0728125	7.007247
0.1095	0.0734375	7.010506
0.10975	0.075625	7.013759
0.11	0.0725	7.016983
0.11025	0.0740625	7.020203
0.1105	0.0734375	7.023405
0.11075	0.07	7.026597
0.111	0.071875	7.029788
0.11125	0.0715625	7.032961
0.1115	0.073125	7.036124
0.11175	0.070625	7.039268
0.112	0.068125	7.042395
0.11225	0.0696875	7.045533
0.1125	0.0678125	7.048656
0.11275	0.068125	7.051774
0.113	0.0703125	7.054894
0.11325	0.065	7.057996
0.1135	0.0665625	7.061105
0.11375	0.0671875	7.064217
0.114	0.068125	7.067334
0.11425	0.066875	7.070451
0.1145	0.0640625	7.073566
0.11475	0.0615625	7.076703
0.115	0.05875	7.079871
0.11525	0.0565625	7.083079
0.1155	0.0575	7.08635
0.11575	0.05875	7.08968
0.116	0.0603125	7.09307
0.11625	0.0659375	7.096513
0.1165	0.069375	7.099983
0.11675	0.07625	7.103467
0.117	0.0796875	7.106924
0.11725	0.0809375	7.110336
0.1175	0.0796875	7.113697
0.11775	0.078125	7.11701
0.118	0.079375	7.120293
0.11825	0.07875	7.123531
0.1185	0.0725	7.126728
0.11875	0.0728125	7.129927
0.119	0.0709375	7.133123
0.11925	0.07	7.136331
0.1195	0.073125	7.139559
0.11975	0.0721875	7.142781
0.12	0.071875	7.145997
0.12025	0.073125	7.149186
0.1205	0.0746875	7.152337
0.12075	0.075	7.155433
0.121	0.073125	7.158454
0.12125	0.0746875	7.161411
0.1215	0.0771875	7.164296
0.12175	0.0746875	7.167106
0.122	0.0746875	7.169881
0.12225	0.0771875	7.172627
0.1225	0.076875	7.17536
0.12275	0.0784375	7.178103
0.123	0.0809375	7.180859
0.12325	0.0834375	7.183627
0.1235	0.08125	7.186402
0.12375	0.080625	7.189214
0.124	0.0765625	7.192059
0.12425	0.0696875	7.194929
0.1245	0.0678125	7.197863
0.12475	0.0675	7.200868
0.125	0.065625	7.203932
0.12525	0.066875	7.207068
0.1255	0.0671875	7.210259
0.12575	0.06875	7.213504
0.126	0.07	7.216787
0.12625	0.07	7.220096
0.1265	0.073125	7.223431
0.12675	0.0703125	7.226766
0.127	0.07125	7.230113
0.12725	0.0696875	7.233471
0.1275	0.0678125	7.236815
0.12775	0.071875	7.240148
0.128	0.0728125	7.243436
0.12825	0.0690625	7.246664
0.1285	0.07	7.249844
0.12875	0.0709375	7.252973
0.129	0.071875	7.256055
0.12925	0.071875	7.259091
0.1295	0.0740625	7.262091
0.12975	0.07375	7.265064
0.13	0.0728125	7.268012
0.13025	0.0728125	7.270942
0.1305	0.074375	7.273852
0.13075	0.07125	7.276724
0.131	0.075625	7.279576
0.13125	0.0753125	7.282384
0.1315	0.0703125	7.285149
0.13175	0.0671875	7.287902
0.132	0.06375	7.290647
0.13225	0.0571875	7.293409
0.1325	0.0546875	7.29622
0.13275	0.051875	7.299088
0.133	0.054375	7.302021
0.13325	0.05625	7.304994
0.1335	0.0575	7.308005
0.13375	0.06375	7.311061
0.134	0.0634375	7.314136
0.13425	0.0696875	7.317255
0.1345	0.0759375	7.320377
0.13475	0.075	7.323469
0.135	0.0784375	7.326528
0.13525	0.0784375	7.329521
0.1355	0.0765625	7.332442
0.13575	0.0790625	7.335293
0.136	0.0784375	7.33805
0.13625	0.078125	7.340727
0.1365	0.076875	7.343321
0.13675	0.076875	7.345837
0.137	0.074375	7.348291
0.13725	0.07125	7.350706
0.1375	0.06875	7.353133
0.13775	0.066875	7.355617
0.138	0.06625	7.358198
0.13825	0.0696875	7.360909
0.1385	0.0690625	7.363728
0.13875	0.071875	7.366674
0.139	0.0715625	7.369714
0.13925	0.07125	7.372823
0.1395	0.0746875	7.375984
0.13975	0.075625	7.379148
0.14	0.0778125	7.38231
0.14025	0.0828125	7.385449
0.1405	0.0803125	7.388536
0.14075	0.0815625	7.391592
0.141	0.083125	7.39461
0.14125	0.0821875	7.397585
0.1415	0.0821875	7.400522
0.14175	0.0821875	7.403411
0.142	0.0828125	7.406259
0.14225	0.081875	7.409063
0.1425	0.080625	7.411824
0.14275	0.08	7.41455
0.143	0.0753125	7.417241
0.14325	0.071875	7.419919
0.1435	0.069375	7.422603
0.14375	0.0621875	7.425297
0.144	0.0575	7.428037
0.14425	0.051875	7.430834
0.1445	0.0446875	7.433702
0.14475	0.0490625	7.436669
0.145	0.0534375	7.439707
0.14525	0.06375	7.442802
0.1455	0.07125	7.445915
0.14575	0.078125	7.449003
0.146	0.0865625	7.452031
0.14625	0.088125	7.454936
0.1465	0.088125	7.457715
0.14675	0.0875	7.460366
0.147	0.0828125	7.462889
0.14725	0.083125	7.465311
0.1475	0.0809375	7.467628
0.14775	0.0815625	7.46986
0.148	0.0784375	7.472017
0.14825	0.07375	7.474116
0.1485	0.0734375	7.476194
0.14875	0.068125	7.478248
0.149	0.0646875	7.480289
0.14925	0.065625	7.482334
0.1495	0.06625	7.484365
0.14975	0.066875	7.486387
0.15	0.069375	7.488392
0.15025	0.069375	7.490362
0.1505	0.075	7.492308
0.15075	0.080625	7.494204
0.151	0.08375	7.496025
0.15125	0.0859375	7.497766
0.1515	0.0871875	7.499411
0.15175	0.0890625	7.50096
0.152	0.0896875	7.502394
0.15225	0.08625	7.503702
0.1525	0.0871875	7.504897
0.15275	0.085	7.505956
0.153	0.084375	7.506885
0.15325	0.085625	7.507687
0.1535	0.081875	7.50835
0.15375	0.0809375	7.508911
0.154	0.0790625	7.509377
0.15425	0.08	7.509769
0.1545	0.0796875	7.510102
0.15475	0.0778125	7.510382
0.155	0.0790625	7.510649
0.15525	0.079375	7.510904
0.1555	0.07625	7.511153
0.15575	0.0796875	7.511424
0.156	0.075625	7.511697
0.15625	0.076875	7.512005
0.1565	0.080625	7.512328
0.15675	0.078125	7.512644
0.157	0.080625	7.512963
0.15725	0.081875	7.513265
0.1575	0.0809375	7.513541
0.15775	0.08125	7.513795
0.158	0.0790625	7.51401
0.15825	0.081875	7.514205
0.1585	0.0775	7.51436
0.15875	0.074375	7.514489
0.159	0.0765625	7.514606
0.15925	0.075625	7.514692
0.1595	0.0746875	7.51476
0.15975	0.076875	7.514809
0.16	0.0740625	7.514823
0.16025	0.075625	7.514817
0.1605	0.0759375	7.514782
0.16075	0.075625	7.514716
0.161	0.0746875	7.514622
0.16125	0.071875	7.514493
0.1615	0.0740625	7.514348
0.16175	0.075625	7.514172
0.162	0.0709375	7.513957
0.16225	0.075	7.513725
0.1625	0.0721875	7.513442
0.16275	0.0721875	7.513134
0.163	0.0746875	7.512802
0.16325	0.0734375	7.512434
0.1635	0.0740625	7.512043
0.16375	0.075	7.511617
0.164	0.0765625	7.511156
0.16425	0.0746875	7.510655
0.1645	0.0709375	7.510126
0.16475	0.0728125	7.509589
0.165	0.07375	7.50903
0.16525	0.0709375	7.508439
0.1655	0.075	7.50782
0.16575	0.0753125	7.507136
0.166	0.074375	7.506373
0.16625	0.0753125	7.505531
0.1665	0.0759375	7.504601
0.16675	0.075625	7.503596
0.167	0.075625	7.502526
0.16725	0.0746875	7.501408
0.1675	0.07625	7.500264
0.16775	0.074375	7.499087
0.168	0.0759375	7.497887
0.16825	0.075	7.496656
0.1685	0.071875	7.495407
0.16875	0.07375	7.49416
0.169	0.0753125	7.49288
0.16925	0.0778125	7.491559
0.1695	0.0775	7.490178
