Interval=	0.00025 s
ExcelDateTime=	4.4825404700274565e+004	2022-09-21 9:42:46.103723
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Raw EMG 1	RMS EMG
Range=	10.000 mV	42.46 V
0.032	0.198125	10.29825
0.03225	0.1575	10.28076
0.0325	0.0990625	10.26271
0.03275	0.0690625	10.24446
0.033	0.0584375	10.22612
0.03325	0.0609375	10.20772
0.0335	0.0690625	10.18927
0.03375	0.0821875	10.17074
0.034	0.09375	10.15206
0.03425	0.1125	10.13321
0.0345	0.1309375	10.11407
0.03475	0.156875	10.09454
0.035	0.1834375	10.07444
0.03525	0.1934375	10.05353
0.0355	0.2015625	10.03173
0.03575	0.1909375	10.00895
0.036	0.16625	9.985272
0.03625	0.1478125	9.960922
0.0365	0.1271875	9.936044
0.03675	0.1146875	9.910769
0.037	0.1053125	9.885171
0.03725	0.0975	9.859296
0.0375	0.0921875	9.833187
0.03775	0.081875	9.806867
0.038	0.07625	9.780383
0.03825	0.075625	9.753757
0.0385	0.0740625	9.726988
0.03875	0.0790625	9.700088
0.039	0.0834375	9.673036
0.03925	0.083125	9.645813
0.0395	0.0878125	9.618421
0.03975	0.09	9.590844
0.04	0.088125	9.563065
0.04025	0.08375	9.535105
0.0405	0.0771875	9.506975
0.04075	0.075625	9.4787
0.041	0.0715625	9.450298
0.04125	0.0725	9.421787
0.0415	0.0775	9.393156
0.04175	0.0834375	9.364385
0.042	0.0915625	9.335445
0.04225	0.09875	9.306297
0.0425	0.1075	9.276893
0.04275	0.1128125	9.247184
0.043	0.1128125	9.217124
0.04325	0.11	9.186716
0.0435	0.1071875	9.155974
0.04375	0.0940625	9.124907
0.044	0.085625	9.093585
0.04425	0.0753125	9.062043
0.0445	0.07375	9.030316
0.04475	0.0740625	8.998406
0.045	0.07625	8.966299
0.04525	0.0775	8.933998
0.0455	0.0725	8.901498
0.04575	0.063125	8.868839
0.046	0.05875	8.836058
0.04625	0.05375	8.80316
0.0465	0.055625	8.770166
0.04675	0.06625	8.737063
0.047	0.07125	8.703806
0.04725	0.078125	8.670375
0.0475	0.08625	8.636727
0.04775	0.088125	8.602821
0.048	0.0875	8.568641
0.04825	0.0834375	8.53419
0.0485	0.0815625	8.499479
0.04875	0.08	8.464508
0.049	0.076875	8.429281
0.04925	0.078125	8.393806
0.0495	0.07375	8.358077
0.04975	0.0734375	8.322105
0.05	0.07375	8.285893
0.05025	0.0703125	8.249427
0.0505	0.070625	8.212725
0.05075	0.0715625	8.17663
0.051	0.071875	8.141929
0.05125	0.07125	8.123823
0.0515	0.063125	8.107494
0.05175	0.056875	8.091047
0.052	0.0471875	8.074543
0.05225	0.0359375	8.058016
0.0525	0.03125	8.041498
0.05275	0.0303125	8.024988
0.053	0.03375	8.008489
0.05325	0.0375	7.992005
0.0535	0.038125	7.975541
0.05375	0.0421875	7.959092
0.054	0.0428125	7.942644
0.05425	0.0475	7.926194
0.0545	0.05	7.909726
0.05475	0.0503125	7.89323
0.055	0.0575	7.876715
0.05525	0.060625	7.860161
0.0555	0.0609375	7.843548
0.05575	0.0621875	7.826889
0.056	0.0609375	7.810191
0.05625	0.0625	7.793459
0.0565	0.0625	7.776689
0.05675	0.060625	7.759887
0.057	0.0615625	7.743057
0.05725	0.060625	7.726192
0.0575	0.0628125	7.709301
0.05775	0.06375	7.692384
0.058	0.0621875	7.675446
0.05825	0.065	7.658515
0.0585	0.064375	7.641585
0.05875	0.06375	7.624652
0.059	0.06625	7.607705
0.05925	0.065625	7.590709
0.0595	0.0659375	7.573651
0.05975	0.064375	7.556518
0.06	0.0659375	7.539312
0.06025	0.0640625	7.522036
0.0605	0.0653125	7.504699
0.06075	0.065	7.487296
0.061	0.0634375	7.469806
0.06125	0.0628125	7.452221
0.0615	0.063125	7.434542
0.06175	0.0628125	7.416761
0.062	0.064375	7.398885
0.06225	0.0628125	7.380906
0.0625	0.060625	7.362829
0.06275	0.0621875	7.344686
0.063	0.0603125	7.326508
0.06325	0.055625	7.308336
0.0635	0.05875	7.29019
0.06375	0.055625	7.272027
0.064	0.0546875	7.253827
0.06425	0.055	7.235563
0.0645	0.0534375	7.217213
0.06475	0.051875	7.198776
0.065	0.0528125	7.18025
0.06525	0.05	7.16163
0.0655	0.0496875	7.142924
0.06575	0.04875	7.124127
0.066	0.0478125	7.105243
0.06625	0.04625	7.086276
0.0665	0.0465625	7.067239
0.06675	0.0478125	7.048158
0.067	0.044375	7.029054
0.06725	0.041875	7.009975
0.0675	0.0434375	6.990962
0.06775	0.043125	6.972032
0.068	0.0453125	6.953173
0.06825	0.0434375	6.934342
0.0685	0.04125	6.91553
0.06875	0.0434375	6.896734
0.069	0.0440625	6.877948
0.06925	0.04375	6.859188
0.0695	0.0446875	6.840464
0.06975	0.0446875	6.821786
0.07	0.0459375	6.803169
0.07025	0.046875	6.784605
0.0705	0.0490625	6.7661
0.07075	0.0496875	6.747647
0.071	0.0484375	6.729241
0.07125	0.0503125	6.710894
0.0715	0.05125	6.692587
