Interval=	0.0001 s
ExcelDateTime=	4.4825385931571953e+004	2022-09-21 9:15:44.487817
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Raw EMG 1	RMS EMG	Grip Force
Range=	10.000 mV	42.46 V	1000.0 mV
UnitName=	*	*	N
TopValue=	*	*	800.0
BottomValue=	*	*	-800.0
0.0291	0.06	7.104497	6.6
0.0292	0.06	7.104497	6.625
0.0293	0.0590625	7.104497	6.65
0.0294	0.0590625	7.104497	6.7
0.0295	0.06	7.104497	6.725
0.0296	0.06	7.104497	6.75
0.0297	0.06	7.104497	6.775
0.0298	0.0575	7.104497	6.8
0.0299	0.0575	7.104497	6.825
0.03	0.0609375	7.104497	6.85
0.0301	0.0609375	7.104497	6.875
0.0302	0.0609375	7.104497	6.9
0.0303	0.063125	7.104497	6.925
0.0304	0.063125	7.104497	6.95
0.0305	0.0609375	7.104497	6.975
0.0306	0.0609375	7.104497	7
0.0307	0.0609375	7.104497	7.025
0.0308	0.06375	7.104497	7.05
0.0309	0.06375	7.104497	7.075
0.031	0.06375	7.104497	7.1
0.0311	0.06375	7.104497	7.125
0.0312	0.06375	7.104497	7.15
0.0313	0.06375	7.104497	7.175
0.0314	0.06375	7.104497	7.175
0.0315	0.065625	7.104497	7.2
0.0316	0.065625	7.104497	7.225
0.0317	0.065625	7.104497	7.25
0.0318	0.065625	7.104497	7.275
0.0319	0.065625	7.104497	7.3
0.032	0.0665625	7.104497	7.325
0.0321	0.0665625	7.104497	7.325
0.0322	0.0665625	7.104497	7.35
0.0323	0.0665625	7.104497	7.375
0.0324	0.0665625	7.104497	7.4
0.0325	0.065625	7.104497	7.425
0.0326	0.065625	7.104497	7.425
0.0327	0.065625	7.104497	7.45
0.0328	0.065	7.104497	7.475
0.0329	0.065	7.104497	7.5
0.033	0.0653125	7.104497	7.5
0.0331	0.0653125	7.104497	7.525
0.0332	0.0653125	7.104497	7.55
0.0333	0.0646875	7.104497	7.575
0.0334	0.0646875	7.104497	7.575
0.0335	0.0634375	7.104497	7.6
0.0336	0.0634375	7.104497	7.625
0.0337	0.0634375	7.104497	7.625
0.0338	0.06375	7.104497	7.65
0.0339	0.06375	7.104497	7.675
0.034	0.06375	7.104497	7.675
0.0341	0.06375	7.104497	7.7
0.0342	0.06375	7.104497	7.7
0.0343	0.0609375	7.104497	7.725
0.0344	0.0609375	7.104497	7.75
0.0345	0.0625	7.104497	7.75
0.0346	0.0625	7.104497	7.775
0.0347	0.0625	7.104497	7.775
0.0348	0.06125	7.104497	7.8
0.0349	0.06125	7.104497	7.8
0.035	0.059375	7.104497	7.825
0.0351	0.059375	7.104497	7.825
0.0352	0.059375	7.104497	7.85
0.0353	0.0609375	7.104497	7.85
0.0354	0.0609375	7.104497	7.875
0.0355	0.0615625	7.104497	7.875
0.0356	0.0615625	7.104497	7.9
0.0357	0.0615625	7.104497	7.9
0.0358	0.063125	7.104497	7.925
0.0359	0.063125	7.104497	7.925
0.036	0.0653125	7.104497	7.95
0.0361	0.0653125	7.104497	7.95
0.0362	0.0653125	7.104497	7.975
0.0363	0.0653125	7.104497	7.975
0.0364	0.0653125	7.104497	7.975
0.0365	0.0646875	7.104497	8
0.0366	0.0646875	7.104497	8
0.0367	0.0646875	7.104497	8.025
0.0368	0.065625	7.104497	8.025
0.0369	0.065625	7.104497	8.025
0.037	0.06625	7.104497	8.05
0.0371	0.06625	7.104497	8.05
0.0372	0.06625	7.104497	8.05
0.0373	0.065625	7.104497	8.075
0.0374	0.065625	7.104497	8.075
0.0375	0.065	7.104497	8.075
0.0376	0.065	7.104497	8.1
0.0377	0.065	7.104497	8.1
0.0378	0.0646875	7.104497	8.1
0.0379	0.0646875	7.104497	8.1
0.038	0.064375	7.104497	8.125
0.0381	0.064375	7.104497	8.125
0.0382	0.064375	7.104497	8.125
0.0383	0.06375	7.104497	8.125
0.0384	0.06375	7.104497	8.15
0.0385	0.065625	7.104497	8.15
